f_id,f_ori_name,sci_name,edible_portion,alcohol (etanol),"energía, total","grasa, total (lipidos totales)","proteina, total",agua (humedad),carbohidratos,"fibra, dietetica total",ácido graso 22:6 n-3 (ácido docosahexaenóico),ácido graso 20:5 (ácido eicosapentaenóico),ácido graso 12:0 (láurico),ácido graso 14:0 (ácido mirístico),ácido graso 16:0 (ácido palmítico),ácido graso 18:0 (ácido esteárico),ácido graso 18:1 n-9 cis (ácido oléico),ácido graso 18:2,ácido graso 18:3,ácido graso 20:4 n-6  (ácido araquidónico),"ácidos grasos, monoinsaturados totales","ácidos grasos, poliinsaturados totales",ácidos grasos saturados totales,"ácidos grasos, trans totales",colesterol,Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,Vitamina D,Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,"folato, total","equivalentes de niacina, totales",riboflavina,tiamina,Vitamina B-12,"Vitamina B-6, Total",Vitamina C (ácido ascórbico),calcio,"hierro, total",potasio,magnesio,sodio,fósforo,ioduro,"selenio, total",zinc (cinc)
2329,Chipiron,Loligo vulgaris,0.700000,0,339.95,1.4,16.25,81.7,0.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.5,0.408,NA,167.5,77.03,TR,2.7,5.12,7.04,0.15,0.07,1.31,0.03,0,144,0.32,280,37.84,110,190,64,44.8,1.08
2330,Chirla,Chamelea striatula,0.560000,0,47,0.5,10.7,88.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.13,0.05,NA,40,250,TR,0.4,17,4.1,0.14,0.04,TR,0.1,TR,128,24,43,51,601,130,160,45,1.3
2331,Cigala,Nephrops norvegicus,0.470000,0,361.2,1.4,17.7,80.4,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.5,0.2,NA,105,TR,TR,1.5,17,1.3,0.05,0.08,1,0.1,0,100,1,400,30,400,300,30,41.4,0.8
2332,Congrio,Conger conger,0.750000,0,426.6,2.8,19,78.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91,0.37,0.55,NA,40,500,22,4.1,13,5.5,0.37,0.17,1,0.28,TR,30,0.7,340,30,50,202,4,30,2
2333,"Dorada, plancha",,1.000000,0,388.9,2.7,17,80.3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.5,0.5,NA,42,85,0,1.25,0,5,0.08,0.05,2,0.16,0,184,0.9,300,25,73,180,0,0,0.5
2334,"Faneca, cruda",Trisopterus luscus linnaeus,0.600000,0,315.8,1,15.4,82.6,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,0.27,0.25,NA,48,9,0.19,1.5,10.4,5,0.08,0.06,2.9,0.05,0,30,0.8,316,25,141,210,7,45,0.5
2335,"Fletan, crudo",,0.800000,0,354.117,1.3,17.501,80.7,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.2,NA,56.6,20,TR,1.05,9.26,6.28,0.09,0.08,0.95,0.6,0,33.4,0.55,309,28.3,100,195,16.14,24,0.48
2336,Gallo,Lepidorhombus boscii,0.560000,0,338.9,1.9,15.8,82.3,0,0,0.205,0.09,NA,0.057,0.304,0.14,0.272,0.027,0.014,0.027,0.39,0.61,0.33,NA,62.2,TR,TR,TR,11.2,3.7,0.1,0.08,1.1,0.38,TR,33.6,0.96,250,42.1,150,260,16,24,0.4
2337,"Gamba, hervida",,1.000000,0,399.53,1.71,19.78,70,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.4,0.4,NA,81,0,0,0,0,3.96,0.14,0.02,0,0.06,0,142,0.99,227.5,38.85,914.25,323.75,25.2,16.2,1.44
2338,Caviar,,1.000000,0,1148.5,17.9,24.6,47.5,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.631,7.405,4.06,NA,588,271.5,35.1,1.89,30,0.12,0.62,0.19,20,0.32,0,275,11.88,181,300,1500,356,BL,65.5,0.95
2339,Langosta,Palinurus elephas,0.380000,0,380,2,18,79.7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,0.74,0.24,NA,150,TR,TR,1.5,17,5.3,0.11,0.12,1,0.06,TR,60,0.7,220,34,270,261,37,46.2,2.3
2340,Langostino,,0.470000,0,468.2,0.8,24.3,73.4,1.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.2,0.2,NA,185,18,18,1.5,2,3.2,0.02,0.02,1.9,0.06,0,115,3.3,221,69,305,215,90,24.3,1.1
2341,Lenguado,Solea vulgaris,0.550000,0,328.6,1.3,16.5,82.2,0,0,0.542,0.193,NA,0.18,0.54,0.13,0.37,0.15,0.02,0.07,0.27,0.43,0.18,NA,60,TR,TR,1.1,11,5.5,0.12,0.1,1,0.43,TR,30,0.7,230,29,100,260,30,44,0.4
2342,"Lenguado, frito",,1.000000,0,385.7,2.2,17.9,79.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.5,0.3,NA,42,0,0,0,10,6.5,0.1,0.26,2,0.39,0,51,0.3,280,22,120,180,28,36,0.5
2343,"Lenguado, plancha",,1.000000,0,564,7.97,15.36,76.2,0.47,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,0.88,1.79,NA,61.16,19.26,0.02,0.28,10.23,5.12,0.11,0.09,0.93,0.4,0,28.26,0.66,214.42,27.02,93.26,242.21,27.91,0,0.38
2344,Lubina,Dicentrarchus labrax,0.670000,0,354.1,1.3,18,80.7,0,0,0.461,0.263,0.004,0.16,0.68,0.16,0.8,0.52,0.1,0.02,0.48,0.36,0.27,NA,68,TR,TR,0.5,3,6.7,0.16,0.11,4,0.2,TR,20,1.1,340,26,69,410,7,36.5,0.8
2345,Mejillon,Mytilus galloprovincialis,0.250000,0,253.9,1.9,10.8,87.3,0,0,0.7,0.71,NA,0.11,0.51,0.13,0.06,0.04,0.03,0.05,0.35,0.52,0.41,NA,58,TR,TR,0.9,33,3,0.14,0.1,8,0.08,TR,80,4.5,92,23,210,236,35,56,1.8
2346,"Mejillón, en escabeche",,1.000000,0,699.9,14,10.7,77.3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.77,8.52,2.76,NA,61.9,53.1,0,1.33,13,3.2,0.13,0.1,7.7,0.06,0,45.3,3.7,0,20.4,0,0,31,0,1.6
2347,Merluza fresca,Merluccius merluccius,0.800000,0,269.41,1.8,11.93,86.3,0,0,0.266,0.1,0.001,0.04,0.186,0.058,0.097,0.016,0.008,0.025,0.43,0.46,0.35,NA,67,TR,TR,0.35,12.3,8.53,0.09,0.09,1.1,0.16,0,33.1,1.1,294,25.1,101,142,27,36,0.37
2348,"Merluza, rebozada, frita",,1.000000,0,621.62,10.29,10.65,75.39,3.52,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.71,1.31,1.51,NA,78.83,13.74,0.11,0.81,13.68,5.02,0.1,0.08,1.01,0.15,0.5,30.85,1.07,233.43,22,89.27,170.56,15.8,TR,0.42
2349,"Mero, plancha", epinephelus spp.,1.000000,0,611.28,9.79,14.33,75.4,0.32,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.38,2.92,1.38,NA,41.78,7.56,0,0.98,12.06,2.12,0.13,0.72,1.78,0.29,2.49,16.08,0.9,245.11,18.27,71.87,189.82,NA,56.5,0.47
2350,Nécora,Necora puber,0.440000,0,124,5.1,19.5,75.4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13,2.18,0.69,NA,100,TR,TR,2.3,20,6.3,0.15,0.1,TR,0.3,0,30,1.3,270,48,370,160,40,37.4,3.8
2351,"Panga, cruda",Pangasius hypophthalmus,1.000000,0,277.3,1.2,13.4,83.8,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,0.17,0.47,NA,29.8,1.99,0.05,0.16,BL,0.35,0.04,0.04,0.3,0.1,0,36.7,0.21,200,17.6,274,107,8,9.6,0.24
2352,Percebe,Pollicipes pollicipes,0.150000,0,249.7,0.5,13.6,85.9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.01,NA,14,TR,TR,0.85,7,3,0.6,0.3,15,0.22,0,126,0.3,330,94,18,157,58,28.8,0.5
2354,"Pescado, genérico",,1.000000,0,400.9,1.6,20.1,74.43,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,1.27,3.69,NA,53.6,22.75,7.73,0.918,11.67,7.88,0.16,0.092,2.58,0.57,0,23.2,0.8,322.2,28.2,85.8,220.4,40.4,24.7,0.5
2356,"Pez espada, emperador, plancha",,1.000000,0,616.2,8.71,16.01,73.98,1.28,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.14,1.3,1.57,NA,36.45,43,0,0.24,2,8.45,0.05,0.05,4.67,0.48,0.2,20.02,0.91,332.94,54.5,95.81,475.57,0.56,0,0.4
2357,"Pijota, cruda",Merluccius merluccius,0.640000,0,269.41,1.8,11.93,86.3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.46,0.35,NA,67,TR,TR,0.35,12.3,8.53,0.09,0.09,1.1,0.16,0,33.1,1.1,294,25.1,101,142,27,36,0.37
2359,"Acelga, en conserva",Beta vulgaris,1.000000,0,72.66,0.08,1.8,94.5,2.3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016,0.028,0.012,NA,0,227,0,1.89,10,0.66,0.09,0.03,0,0.09,18,80,2.3,510,86,130,33,14,0.8,0.2
